nquest,Y,CN,CD1,CD2,CD,C,S
53520,48081.73505,24000,0,2000,2000,26000,22081.73505
53549,39108.201745,27700,0,600,600,28300,10808.201745
53552,21913.623727,16860,0,0,0,16860,5053.6237273
53564,66408.044679,54600,0,0,0,54600,11808.044679
53596,35406.652815,27600,0,0,0,27600,7806.6528152
53871,29610.907853,20400,0,0,0,20400,9210.9078529
53997,72608.284853,41280,0,0,0,41280,31328.284853
54143,47249.77714,17800,0,250,250,18050,29199.77714
55147,28769.798434,18100,0,0,0,18100,10669.798434
55308,14426.927299,12400,0,0,0,12400,2026.9272991
55425,5011.1709219,7240,0,0,0,7240,-2228.829078
55430,28407.330563,27800,0,0,0,27800,607.33056305
55636,65435.521454,46600,0,0,0,46600,18835.521454
55774,30650,28150,0,0,0,28150,2500
56251,26000,24000,0,0,0,24000,2000
56465,25354.03181,19400,0,0,0,19400,5954.0318097
56563,20829.034064,17800,-2000,0,-2000,15800,5029.0340637
56582,45115.975067,27600,18000,700,18700,46300,-1184.024933
56603,42000,24000,0,0,0,24000,18000
56624,42459.330563,27600,0,0,0,27600,14859.330563
56658,56534.70857,42000,0,4000,4000,46000,10534.70857
56677,33827.489611,17400,0,0,0,17400,16427.489611
56721,40698.557329,32000,0,0,0,32000,8698.5573286
56761,64825.656971,24000,25000,0,25000,49000,15825.656971
56762,38909.958446,23200,0,1000,1000,24200,14709.958446
57027,22612.453992,17600,0,0,0,17600,5012.4539919
57042,14400,6600,0,0,0,6600,7800
57138,43122.156386,34100,0,0,0,34100,9022.1563862
57546,27880.636194,33100,0,0,0,33100,-5219.363806
57547,39949.322252,25200,0,0,0,25200,14749.322252
57621,57352.981063,43100,0,0,0,43100,14252.981063
57670,21712.432726,10300,0,0,0,10300,11412.432726
57779,30021.991689,16800,0,0,0,16800,13221.991689
57962,21563.780743,20150,0,0,0,20150,1413.7807427
58366,34303.665282,24000,0,0,0,24000,10303.665282
60078,14170.995845,18760,0,0,0,18760,-4589.004155
91067,23943.665282,18000,0,0,0,18000,5943.6652815
91071,46112.451726,30000,0,0,0,30000,16112.451726
91074,23306.438713,22200,0,0,0,22200,1106.4387134
91079,33674.878412,19800,0,0,0,19800,13874.878412
91081,40361.995593,28700,0,4500,4500,33200,7161.9955929
91095,53309.741704,31600,15000,0,15000,46600,6709.7417044
111052,28723,22400,0,500,500,22900,5823
138399,31688.178195,17200,0,3150,3150,20350,11338.178195
145007,37014.661126,36000,0,0,0,36000,1014.6611261
178001,16652.828485,12270,0,0,0,12270,4382.8284853
193016,8900,5500,0,0,0,5500,3400
213440,30610.385097,40200,0,0,0,40200,-9589.614903
224048,10540,10560,0,0,0,10560,-20
230029,27684.610025,16900,0,0,0,16900,10784.610025
230037,34900,13200,8000,0,8000,21200,13700
237003,70331.409498,43300,0,0,0,43300,27031.409498
243067,68605.330989,42000,0,0,0,42000,26605.330989
244013,27493.652815,19800,0,0,0,19800,7693.6528152
244058,18607.330563,15600,0,0,0,15600,3007.330563
250005,18348,14400,0,0,0,14400,3948
250010,6600,7560,0,0,0,7560,-960
250039,8400,10200,0,0,0,10200,-1800
256015,11601.349033,21000,0,500,500,21500,-9898.650967
279054,19105.12047,13600,0,0,0,13600,5505.1204698
282083,10218,7800,0,0,0,7800,2418
282089,19915.908525,18000,0,600,600,18600,1315.9085254
284086,24660,22600,0,0,0,22600,2060
310002,16516.493767,13300,0,0,0,13300,3216.4937669
310005,9563.6486598,14100,0,280,280,14380,-4816.35134
321009,27375.929159,20120,0,0,0,20120,7255.9291594
330057,23243.561542,20260,0,0,0,20260,2983.5615416
332080,18928.326408,15600,0,0,0,15600,3328.3264076
333081,49582.985906,23400,0,0,0,23400,26182.985906
355063,9106.0174627,9280,0,0,0,9280,-173.9825373
365034,18003.665282,12200,0,0,0,12200,5803.6652815
387029,42217.94,37800,0,0,0,37800,4417.94
389084,16500.989626,14100,1000,0,1000,15100,1400.989626
500001,19119.205847,20400,0,0,0,20400,-1280.794153
500004,16510.662435,16200,0,0,0,16200,310.66243502
500026,38676.875943,23400,0,0,0,23400,15276.875943
500090,23050,21600,0,0,0,21600,1450
500176,16907.330563,20400,3500,2000,5500,25900,-8992.669437
500669,32805.480791,15600,0,0,0,15600,17205.480791
500674,40134.508302,29100,0,0,0,29100,11034.508302
500726,49316.585618,38800,0,0,0,38800,10516.585618
501068,14870.743539,18630,0,0,0,18630,-3759.256461
501082,30809.958446,17400,0,0,0,17400,13409.958446
501627,20374.876481,19200,0,0,0,19200,1174.8764809
501694,28612.231194,23400,0,0,0,23400,5212.2311942
501816,34018.326408,9300,0,0,0,9300,24718.326408
501874,40818.844644,19000,12000,0,12000,31000,9818.844644
502060,8706.2512968,10800,0,1000,1000,11800,-3093.748703
502355,46512.586328,15900,17500,0,17500,33400,13112.586328
502364,23583.952637,14900,0,0,0,14900,8683.9526368
502772,25191.804509,24600,0,0,0,24600,591.80450852
503560,38967.915547,25200,0,0,0,25200,13767.915547
503561,52025.598472,44200,0,0,0,44200,7825.5984724
503593,25892.394881,16800,0,0,0,16800,9092.394881
503674,110569.2892,68360,0,0,0,68360,42209.289204
503788,30566.720197,22900,0,0,0,22900,7666.720197
503931,80027.124839,36800,0,300,300,37100,42927.124839
503950,30324.122058,28224,0,400,400,28624,1700.1220582
503981,30514.605769,25100,0,0,0,25100,5414.6057688
504091,21714.661126,10800,0,0,0,10800,10914.661126
504157,28842.208016,8400,0,0,0,8400,20442.208016
504363,15601.940449,6072,1300,0,1300,7372,8229.9404486
504380,19313.82433,20000,0,0,0,20000,-686.1756701
504395,52835.20644,56500,2500,0,2500,59000,-6164.79356
504453,41223.82433,16300,0,1000,1000,17300,23923.82433
504551,17802.932225,13800,0,0,0,13800,4002.9322252
504584,14401.273561,7500,0,0,0,7500,6901.2735606
504730,25163.30563,25600,0,0,0,25600,-436.6943695
504792,43841.087532,25700,150,600,750,26450,17391.087532
504821,107678.72724,93620,0,0,0,93620,14058.727243
504885,6506.5975067,14100,0,0,0,14100,-7593.402493
504889,58222.430667,42000,0,1000,1000,43000,15222.430667
504921,31954.975604,32400,0,2000,2000,34400,-2445.024396
504937,20600,17400,0,0,0,17400,3200
505022,19650,11900,0,0,0,11900,7750
505167,27710.139572,8400,0,2500,2500,10900,16810.139572
505228,60536.582775,41300,0,0,0,41300,19236.582775
505243,53482.702213,23100,0,0,0,23100,30382.702213
505390,107872.26174,68800,0,0,0,68800,39072.261737
