nquest,anmutuo11,anmutuo12,debgar11_1,debgar12_1,debgar11_2,debgar12_2,debgar11_3,debgar12_3,debm11,debm12,debpers11,debpers12,debrf11,debrf12,ltv11,ltv12,mutuodu11,mutuodu12,mutuoin11,mutuoin12,ratacon11,ratacon12,rifinanz11,rifinanz12,rippag11,rippag12,rippagqua11,rippagqua12,sospecome11,sospecome12,sospens11,sospens12,stesmut11,stesmut12,taxfis11,taxfis12,taxvar11,taxvar12,tipotax11,tipotax12,tmutuoab11,tmutuoab12,whytipo11,whytipo12,tdebita11,tdebita12
919446,2002,,1,,0,,0,,2,,,,2,,10,,15,,50000,,,,2,,,,,,,,2,,,,4,,,,1,,5100,,4,,9000,
919451,2011,,1,,0,,0,,1,,,,2,,100,,20,,60000,,,,2,,,,,,,,2,,,,3,,,,1,,4200,,4,,40000,
919453,2007,,1,,0,,0,,1,,,,2,,40,,20,,60000,,,,2,,1,,12,,3,,1,,,,5.3,,,,1,,4900,,3,,48000,
919500,2007,,1,,0,,0,,1,,,,2,,70,,20,,150000,,1,,2,,,,,,,,2,,,,,,5,,2,,600,,1,,100000,
919516,2009,,1,,0,,0,,2,,,,1,,50,,15,,45000,,1,,2,,,,,,,,2,,,,,,1.9,,2,,4200,,1,,22000,
919521,2014,,1,,0,,0,,1,,,,2,,50,,20,,60000,,,,2,,,,,,,,2,,,,5,,,,1,,7200,,1,,54000,
919576,2001,,1,,0,,0,,1,,,,2,,80,,30,,220000,,1,,2,,2,,,,2,,1,,,,,,4.8,,2,,12000,,4,,170000,
919643,2004,,1,,0,,0,,1,,,,2,,100,,30,,112000,,1,,1,,,,,,,,2,,3,,,,2,,2,,6000,,1,,88000,
919686,2011,,1,,0,,0,,2,,,,2,,65,,20,,120000,,2,,2,,,,,,,,2,,,,,,1.2,,2,,6000,,2,,98000,
919727,2003,,1,,0,,0,,3,,,,3,,70,,25,,450000,,2,,2,,,,,,,,2,,,,,,2.5,,2,,36000,,1,,290000,
919957,2003,,1,,0,,0,,1,,,,2,,100,,35,,155000,,2,,2,,1,,6,,1,,1,,,,,,3,,2,,3000,,4,,120000,
920085,2015,,0,,0,,1,,2,,1,,2,,10,,5,,15000,,,,2,,,,,,,,2,,,,7,,,,1,,3600,,4,,9000,
920225,2003,,1,,0,,0,,2,,,,2,,50,,20,,60000,,2,,2,,,,,,,,2,,,,,,4.5,,2,,4320,,1,,25000,
920333,2014,,1,,0,,0,,1,,,,2,,100,,30,,150000,,,,2,,,,,,,,2,,,,3.4,,,,1,,8400,,1,,140000,
920395,2002,,1,,0,,0,,1,,,,2,,100,,30,,100000,,2,,2,,,,,,,,2,,,,,,0.7,,2,,4000,,4,,65000,
920569,2003,,1,,0,,0,,1,,,,2,,100,,24,,128000,,,,1,,,,,,,,2,,1,,4,,,,1,,7200,,2,,70000,
920630,2009,,1,,0,,0,,1,,,,2,,90,,25,,160000,,,,2,,,,,,,,2,,,,5.8,,,,1,,7684,,4,,118000,
920647,2014,,1,,0,,0,,1,,,,2,,80,,30,,280000,,2,,2,,,,,,,,2,,,,,,0.5,,2,,9000,,2,,270000,
920668,2010,,1,,0,,0,,1,,,,2,,85,,35,,300000,,,,1,,,,,,,,2,,3,,2,,,,1,,15000,,1,,230000,
920688,2015,,1,,0,,0,,1,,,,2,,80,,6,,100000,,,,2,,,,,,,,2,,,,2,,,,1,,15000,,1,,80000,
920839,2003,,1,,0,,0,,1,,,,2,,90,,15,,150000,,2,,2,,,,,,,,2,,,,,,3.5,,2,,5500,,1,,10500,
920840,2002,,1,,0,,0,,1,,,,2,,80,,30,,120000,,,,2,,,,,,,,2,,,,3.5,,,,1,,6000,,1,,42000,
920842,2011,,1,,0,,0,,1,,,,2,,100,,30,,200000,,1,,2,,,,,,,,2,,,,,,2.5,,2,,6000,,1,,192000,
920925,2001,,0,,0,,1,,1,,1,,2,,100,,21,,78000,,,,2,,,,,,,,2,,,,7,,,,1,,9100,,3,,40000,
920942,2010,,1,,0,,0,,1,,,,1,,85,,30,,300000,,2,,1,,,,,,,,2,,1,,,,2,,2,,9600,,1,,180000,
921623,2011,,1,,0,,0,,1,,,,2,,100,,25,,100000,,,,2,,,,,,,,2,,,,8.4,,,,1,,5200,,3,,80000,
921680,2014,,1,,0,,0,,1,,,,2,,100,,40,,90000,,,,2,,,,,,,,2,,,,3,,,,1,,4000,,4,,78000,
921701,2002,,1,,0,,0,,1,,,,2,,100,,25,,90000,,1,,2,,,,,,,,2,,,,,,3,,2,,6000,,4,,60000,
921704,2004,,1,,0,,0,,1,,,,2,,100,,25,,120000,,1,,2,,,,,,,,2,,,,,,4.8,,2,,6800,,4,,65000,
921717,2014,,1,,0,,0,,2,,,,2,,70,,15,,50000,,,,2,,,,,,,,2,,,,6.8,,,,1,,5600,,4,,40000,
921777,2007,,1,,0,,0,,1,,,,2,,100,,28,,180000,,2,,2,,,,,,,,2,,,,,,3.1,,2,,12000,,3,,120000,
921865,1990,,1,,0,,0,,1,,,,2,,100,,35,,40000,,,,2,,,,,,,,2,,,,0,,,,1,,1100,,1,,10000,
921987,2011,,1,,0,,0,,1,,,,2,,80,,25,,100000,,,,2,,,,,,,,2,,,,6.4,,,,1,,5700,,4,,82000,
922371,2003,,1,,0,,0,,1,,,,2,,100,,20,,115000,,1,,2,,,,,,,,2,,,,,,6,,2,,500,,4,,80000,
922504,2010,,1,,0,,0,,1,,,,1,,50,,20,,48000,,1,,1,,,,,,,,2,,1,,,,6,,2,,2400,,3,,37000,
922981,2005,,1,,0,,0,,2,,,,2,,40,,15,,80000,,,,1,,,,,,,,2,,1,,3.5,,,,1,,6900,,1,,15000,
923002,2012,,0,,0,,1,,2,,2,,2,,10,,8,,10000,,,,2,,,,,,,,2,,,,9,,,,1,,1850,,4,,6500,
923423,2015,,1,,0,,0,,1,,,,1,,80,,30,,175000,,,,2,,,,,,,,2,,,,2.8,,,,1,,8400,,1,,167000,
924013,1997,,1,,0,,0,,1,,,,1,,40,,20,,144000,,,,2,,,,,,,,2,,,,6,,,,1,,7200,,4,,7200,
924016,2010,,1,,0,,0,,1,,,,2,,90,,30,,80000,,,,2,,,,,,,,2,,,,5,,,,1,,4200,,2,,80000,
924069,2015,,0,,0,,1,,2,,1,,2,,0,,5,,27000,,,,2,,,,,,,,2,,,,5,,,,1,,6000,,1,,19000,
924141,2007,,1,,0,,0,,1,,,,2,,50,,35,,150000,,,,2,,,,,,,,2,,,,6,,,,1,,9000,,3,,131000,
924204,2007,,1,,0,,0,,1,,,,2,,100,,25,,110000,,,,2,,,,,,,,2,,,,5.5,,,,1,,7300,,3,,70000,
924323,2013,,1,,0,,0,,1,,,,2,,40,,30,,180000,,1,,2,,,,,,,,2,,,,,,0.3,,2,,4444,,4,,110000,
924513,2010,,1,,0,,0,,1,,,,2,,70,,15,,70000,,,,2,,,,,,,,2,,,,10,,,,1,,6960,,4,,60000,
924572,2014,,1,,0,,0,,2,,,,2,,10,,6,,5000,,,,2,,,,,,,,2,,,,7.8,,,,1,,1200,,4,,3000,
924606,2015,,0,,0,,1,,2,,1,,2,,10,,10,,13000,,,,2,,,,,,,,2,,,,3,,,,1,,2000,,4,,10000,
924708,2009,,1,,0,,0,,1,,,,2,,80,,20,,30000,,2,,2,,,,,,,,2,,,,,,4,,2,,5000,,1,,15000,
924794,2004,,1,,0,,0,,1,,,,2,,80,,20,,60000,,2,,2,,,,,,,,2,,,,,,1.75,,2,,3900,,2,,29000,
924799,2005,,0,,1,,0,,3,,,,2,,80,,30,,130000,,,,2,,,,,,,,2,,,,1.7,,,,1,,7500,,1,,90000,
925229,2003,,1,,0,,0,,1,,,,1,,50,,20,,70000,,1,,2,,,,,,,,2,,,,,,4,,2,,5000,,1,,30000,
925368,2014,,1,,0,,0,,1,,,,1,,40,,10,,18000,,,,2,,,,,,,,2,,,,7,,,,1,,2500,,4,,14000,
925373,2016,,0,,0,,1,,2,,2,,2,,50,,10,,40000,,,,2,,,,,,,,2,,,,2,,,,1,,600,,4,,6000,
925466,2007,,1,,0,,0,,1,,,,2,,70,,20,,80000,,,,2,,,,,,,,2,,,,6.05,,,,1,,6000,,4,,50000,
926005,2012,,1,,0,,0,,1,,,,2,,100,,30,,110000,,1,,2,,,,,,,,2,,,,,,3,,2,,4200,,4,,93800,
926041,2001,,1,,0,,0,,1,,,,2,,80,,17,,80000,,,,2,,,,,,,,2,,,,4.9,,,,1,,6000,,1,,8000,
926095,2007,,1,,0,,0,,2,,,,2,,100,,15,,60000,,1,,2,,,,,,,,2,,,,,,2.9,,2,,4900,,3,,25000,
926274,2011,,0,,0,,1,,2,,2,,2,,100,,10,,8000,,,,2,,,,,,,,2,,,,2,,,,1,,1500,,1,,7500,
926423,2016,,0,,0,,1,,2,,1,,2,,25,,10,,32400,,,,2,,,,,,,,2,,,,4.9,,,,1,,2000,,1,,30400,
926448,1994,,1,,0,,0,,1,,,,2,,70,,25,,65000,,,,2,,,,,,,,2,,,,2,,,,1,,4272,,1,,20000,
926524,2007,,0,,1,,0,,1,,,,2,,30,,15,,100000,,,,2,,,,,,,,2,,,,5,,,,1,,5000,,4,,40000,
926639,2003,,1,,0,,0,,1,,,,2,,5,,15,,6000,,,,2,,,,,,,,2,,,,5.38,,,,1,,6000,,4,,6000,
926669,2012,,0,,0,,1,,1,,1,,2,,50,,15,,70000,,,,2,,,,,,,,2,,,,3,,,,1,,6000,,4,,45000,
926693,2011,,0,,0,,1,,2,,1,,2,,100,,25,,100000,,,,2,,,,,,,,2,,,,0,,,,1,,4000,,4,,76000,
926896,2012,,0,,0,,1,,2,,1,,2,,10,,6,,5000,,,,2,,,,,,,,2,,,,8,,,,1,,1800,,3,,2000,
926952,2016,,1,,0,,0,,1,,,,2,,25,,5,,20000,,,,2,,,,,,,,2,,,,5,,,,1,,5000,,1,,15000,
926966,2004,,1,,0,,0,,1,,,,2,,100,,24,,108000,,,,1,,,,,,,,2,,1,,3,,,,1,,6000,,1,,60000,
926973,2005,,1,,0,,0,,1,,,,2,,40,,20,,80000,,1,,2,,,,,,,,2,,,,,,2.5,,2,,4000,,1,,36000,
927023,2008,,0,,0,,1,,1,,1,,2,,80,,20,,105000,,,,1,,,,,,,,2,,1,,2.2,,,,1,,7200,,1,,70000,
927108,2006,,1,,0,,0,,1,,,,2,,100,,25,,100000,,1,,2,,,,,,,,2,,,,,,8,,2,,6000,,1,,60000,
927473,2014,,1,,0,,0,,1,,,,2,,80,,25,,160000,,1,,2,,,,,,,,2,,,,,,1.3,,2,,6400,,4,,143000,
927669,2014,,1,,0,,0,,1,,,,2,,50,,15,,70000,,,,2,,,,,,,,2,,,,3,,,,1,,6360,,4,,68000,
927678,2007,,1,,0,,0,,1,,,,1,,80,,25,,520000,,1,,2,,,,,,,,2,,,,,,3,,2,,34000,,2,,460000,
927693,2012,2014,0,1,1,0,0,0,1,2,,,2,2,80,90,30,30,230000,100000,1,1,2,2,,,,,,,2,2,,,,,2.3,2.2,2,2,9500,5500,1,1,225000,98000
927988,2004,,1,,0,,0,,1,,,,2,,80,,15,,120000,,2,,2,,,,,,,,2,,,,,,2,,2,,4500,,4,,14000,
928015,2014,,1,,0,,0,,1,,,,2,,70,,20,,120000,,2,,2,,,,,,,,2,,,,,,2,,2,,8000,,2,,110000,
928037,2012,,1,,0,,0,,1,,,,2,,40,,15,,200000,,1,,2,,,,,,,,2,,,,,,2,,2,,10000,,1,,83000,
928044,2003,,1,,0,,0,,1,,,,2,,75,,20,,150000,,2,,2,,,,,,,,2,,,,,,2,,2,,7500,,2,,68000,
928174,2015,,1,,0,,0,,2,,,,2,,70,,15,,80000,,2,,2,,,,,,,,2,,,,,,2.5,,2,,6000,,1,,50000,
928184,2016,,1,,0,,0,,2,,,,2,,50,,10,,30000,,,,2,,,,,,,,2,,,,6.5,,,,1,,1500,,3,,28500,
928200,2016,,1,,0,,0,,2,,,,2,,20,,25,,25000,,,,2,,,,,,,,2,,,,2,,,,1,,1000,,4,,24000,
928291,2004,,1,,0,,0,,1,,,,2,,80,,25,,100000,,,,2,,,,,,,,2,,,,7,,,,1,,8400,,4,,60000,
928293,2000,,0,,0,,1,,1,,1,,2,,80,,25,,60000,,1,,2,,,,,,,,2,,,,,,5,,2,,4500,,4,,30000,
928336,2015,,1,,0,,0,,1,,,,2,,50,,10,,60000,,,,2,,,,,,,,2,,,,2,,,,1,,7152,,4,,59000,
928370,2010,,1,,0,,0,,2,,,,2,,60,,15,,30000,,,,2,,,,,,,,2,,,,2,,,,1,,2400,,4,,25000,
928473,2015,,1,,0,,0,,1,,,,2,,40,,20,,65000,,,,2,,,,,,,,2,,,,3.5,,,,1,,2800,,3,,62500,
928500,2008,,1,,0,,0,,1,,,,2,,75,,20,,150000,,,,2,,,,,,,,2,,,,6,,,,1,,8800,,4,,70000,
