nquest,TDEBITC,TDEBITD,TDEBITE,TDEBITF,TDEBITG,PFIMM,PFCONS,PFAZ,PFCARTE,PFCC,RATADEB_RES,RATADEB_AIMM,RATADEB_FAM,RATADEB,RATADEB_PROF,PFCOLL,PFNOCOLL
38877,0,0,0,0,0,0,0,0,0,0,,,,,,,
38885,0,50,0,0,0,0,50,0,0,0,,,600,600,,0,50
38939,0,0,0,0,0,17600,0,0,0,0,2400,,,2400,,17600,0
38940,0,0,0,0,0,0,0,0,0,0,,,,,,,
38957,0,0,0,0,0,0,0,0,0,0,,,,,,,
38979,0,0,0,0,0,0,0,0,0,0,,,,,,,
38992,0,0,0,0,0,0,0,0,0,0,,,,,,,
39056,0,4000,0,0,0,0,4000,0,0,0,,,1700,1700,,0,4000
39086,0,0,0,0,0,0,0,0,0,0,,,,,,,
39095,0,0,0,0,0,0,0,0,0,0,,,,,,,
39218,0,0,0,0,0,0,0,0,0,0,,,,,,,
39227,0,0,0,0,0,0,0,63000,0,0,,,,6200,6200,0,63000
39284,0,0,0,0,0,0,0,0,0,0,,,,,,,
39317,0,0,0,0,0,0,0,0,0,0,,,,,,,
39318,0,0,0,0,0,0,0,0,0,0,,,,,,,
39351,0,0,0,0,0,0,0,0,0,0,,,,,,,
39488,0,0,0,0,0,0,0,0,0,0,,,,,,,
39491,4500,0,0,0,0,0,4500,0,0,0,,,1620,1620,,0,4500
39697,0,0,0,0,0,0,0,0,0,0,,,,,,,
50052,0,0,0,0,0,0,0,0,0,0,,,,,,,
50060,0,0,0,0,0,0,0,0,0,0,,,,,,,
50085,0,0,0,0,0,0,0,0,0,0,,,,,,,
50231,0,0,0,0,0,0,0,0,0,0,,,,,,,
50232,0,0,0,0,0,0,0,0,0,0,,,,,,,
51013,0,0,0,0,0,0,0,0,0,0,,,,,,,
51363,0,0,0,0,0,0,0,0,0,0,,,,,,,
51444,0,0,0,0,0,0,0,0,0,0,,,,,,,
51467,0,0,0,0,0,0,0,0,0,0,,,,,,,
51544,0,0,0,0,0,25000,0,0,0,0,6000,,,6000,,25000,0
51733,0,0,0,0,0,0,0,0,0,0,,,,,,,
51895,0,0,0,0,0,0,0,0,0,0,,,,,,,
52700,0,0,0,0,0,0,0,0,0,0,,,,,,,
52718,0,0,0,0,0,0,0,0,0,0,,,,,,,
52736,0,0,0,0,0,0,0,0,0,0,,,,,,,
53008,0,0,0,0,0,0,0,0,1001.4745415,0,,,,,,0,1001.4745415
53028,0,0,0,0,0,0,0,0,0,0,,,,,,,
53086,0,0,0,0,0,0,0,0,0,0,,,,,,,
53109,0,0,0,0,0,0,0,0,0,0,,,,,,,
53202,0,0,0,0,0,0,0,0,0,0,,,,,,,
53234,0,0,0,0,0,0,0,0,0,0,,,,,,,
53373,0,0,0,0,0,0,0,0,0,0,,,,,,,
53380,0,0,0,0,0,0,0,0,0,0,,,,,,,
53520,0,0,0,0,0,1200,0,0,0,0,3400,,,3400,,1200,0
53549,0,0,0,0,0,0,0,0,0,0,,,,,,,
53552,0,0,0,0,0,0,0,0,0,0,,,,,,,
53564,0,0,0,0,0,0,0,20000,0,0,,,,,,,
53596,0,0,0,0,0,0,0,0,0,0,,,,,,,
53871,0,0,0,0,0,0,0,0,0,0,,,,,,,
53997,0,0,0,0,0,0,0,0,0,0,,,,,,,
54143,0,0,0,0,0,0,0,0,0,0,,,,,,,
55147,0,0,0,0,0,0,0,0,0,0,,,,,,,
55308,0,0,0,0,0,0,0,0,0,0,,,,,,,
55425,0,0,0,0,0,0,0,0,0,0,,,,,,,
55430,0,0,0,0,0,0,0,0,0,0,,,,,,,
55636,0,0,0,0,0,0,0,0,0,0,,,,,,,
55774,0,0,0,0,0,0,0,0,0,0,,,,,,,
56251,0,0,0,0,0,0,0,0,0,0,,,,,,,
56465,0,0,0,0,0,0,0,0,0,0,,,,,,,
56563,0,0,0,0,0,0,0,0,0,0,,,,,,,
56582,0,0,0,0,0,0,0,0,0,0,,,,,,,
56603,0,0,0,0,0,0,0,0,0,1500,,,,,,0,1500
56624,0,0,0,0,0,0,0,0,0,0,,,,,,,
56658,0,0,0,0,0,0,0,0,0,0,,,,,,,
56677,0,0,0,0,0,0,0,0,0,0,,,,,,,
56721,0,0,0,0,0,0,0,0,0,0,,,,,,,
56761,0,0,0,0,0,0,0,0,0,0,,,,,,,
56762,0,0,0,0,0,0,0,0,0,0,,,,,,,
57027,0,0,0,0,0,0,0,0,0,0,,,,,,,
57042,0,0,0,0,0,0,0,0,0,0,,,,,,,
57138,0,0,0,0,0,0,0,0,0,0,,,,,,,
57546,0,0,0,0,0,0,0,0,0,0,,,,,,,
57547,0,0,0,0,0,0,0,0,0,0,,,,,,,
57621,0,0,0,0,0,0,0,0,0,0,,,,,,,
57670,0,0,0,0,0,0,0,0,0,0,,,,,,,
57779,0,0,0,0,0,0,0,0,0,0,,,,,,,
57962,0,0,0,0,0,0,0,0,0,0,,,,,,,
58366,0,0,0,0,0,0,0,0,0,0,,,,,,,
60078,0,0,0,0,0,0,0,0,0,0,,,,,,,
91067,0,0,0,0,0,0,0,0,0,0,,,,,,,
91071,0,460,0,0,0,0,460,0,0,0,,,960,960,,0,460
91074,0,0,0,0,0,0,0,0,0,0,,,,,,,
91079,0,0,0,0,0,0,0,2000,0,0,,,,,,,
91081,0,0,0,0,0,45000,0,0,0,0,9500,,,9500,,45000,0
91095,0,0,0,0,0,0,0,0,0,0,,,,,,,
111052,0,0,0,0,0,0,0,0,0,0,,,,,,,
138399,0,0,0,0,0,0,0,0,0,0,,,,,,,
145007,0,0,0,0,0,0,0,0,0,500,,,,,,0,500
178001,0,10000,0,0,0,0,10000,0,0,0,,,3600,3600,,0,10000
193016,0,0,0,0,0,0,0,0,0,1681.6447503,,,,,,0,1681.6447503
213440,0,0,0,0,0,0,0,0,0,0,,,,,,,
224048,0,0,0,0,0,0,0,0,0,0,,,,,,,
230029,0,0,0,0,0,0,0,0,0,0,,,,,,,
