nquest,quest,nquestp,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,vitgen,ngen,figli,nfigli,vitf,nfratsore,parnoit,ANCONV,contint,NCOMP,CAPI
871237,3,,3,1,3,1,3,1,2,1,1,2,2,,1,6,,1989,3,4,1
871242,3,,2,1,2,1,,,,,2,,2,,2,,2,,4,1,1
871268,3,,1,1,1,1,,,,,2,,1,2,2,,,,2,1,1
871272,3,,2,1,2,1,,,,,2,,2,,1,1,2,,2,1,1
871273,3,,3,1,3,1,3,1,3,1,2,,1,2,1,3,,1992,4,2,1
871320,3,,3,1,3,1,4,1,3,1,2,,1,1,1,1,,1986,2,2,1
871385,3,,2,1,2,1,2,1,2,1,2,,1,1,1,4,,1975,4,3,1
871395,3,,2,1,2,1,2,1,2,1,2,,2,,2,,,1963,1,3,1
871412,3,,1,1,2,1,2,1,2,1,2,,1,1,1,8,,1970,2,3,1
871440,3,,2,1,2,1,,,,,2,,2,,1,2,2,,3,3,1
871442,3,,1,1,1,1,,,,,2,,1,1,1,7,,,2,1,1
871461,3,,6,1,4,1,3,1,3,1,1,3,2,,1,5,,2009,6,3,1
871470,3,,2,1,2,1,2,1,2,1,2,,1,1,1,3,,1978,2,2,1
871517,3,,1,1,1,1,,,,,2,,1,2,1,2,,,2,1,1
871521,3,,2,1,2,1,2,1,2,1,2,,1,1,1,2,,1962,3,2,1
871533,3,,3,1,3,1,,,,,1,1,2,,1,4,2,,3,3,1
871572,3,,1,1,1,1,1,1,1,1,2,,1,2,1,3,,1967,1,2,1
871580,3,,2,1,2,1,2,1,2,1,2,,1,2,1,5,,1985,4,2,1
871610,3,,1,1,1,1,,,,,2,,1,3,1,5,,,1,1,1
871617,3,,1,1,1,1,1,1,1,1,2,,1,2,1,3,,1970,1,2,1
871618,3,,1,1,1,1,1,1,1,1,1,1,1,1,1,4,,1978,1,2,1
871631,3,,4,1,4,1,2,1,2,1,1,4,2,,1,2,,2009,1,4,0
871634,3,,5,1,3,1,,,,,2,,2,,1,2,2,,1,1,1
871642,3,,1,1,1,1,,,,,2,,2,,2,,,,1,1,0
871695,3,,1,2,1,2,,,,,1,2,2,,2,,2,,2,5,1
871697,3,,1,1,1,1,1,1,1,1,2,,2,,1,4,,1971,1,4,1
871747,3,,1,1,1,1,1,1,1,1,1,1,1,2,1,3,,1968,2,2,1
871798,3,,2,2,2,2,,,,,1,2,1,1,1,2,1,,2,1,1
871807,3,,2,1,2,1,,,,,2,,1,2,2,,,,1,1,1
871811,3,,4,1,4,1,,,,,1,2,2,,1,1,2,,1,1,1
871886,3,,2,1,2,1,,,,,2,,1,2,2,,,,2,1,1
871892,3,,2,1,2,1,,,,,2,,1,2,1,2,2,,1,1,1
871903,3,,2,1,2,1,2,1,2,1,1,2,2,,1,3,,1999,1,4,1
872005,3,,1,1,1,1,1,1,1,1,2,,1,2,1,7,,1962,1,3,1
872027,3,,2,1,2,1,2,1,2,1,1,2,2,,1,7,,1980,2,2,1
872065,3,,3,1,2,1,,,,,2,,1,1,1,1,2,,3,2,1
872073,3,,7,1,7,1,,,,,2,,2,,2,,2,,4,2,1
872077,3,,7,3,7,3,7,3,7,3,2,,1,2,1,7,,1981,3,4,1
872082,3,,2,1,1,1,,,,,1,2,2,,1,1,2,,5,1,0
872107,3,,2,1,1,1,2,1,1,1,2,,1,2,1,4,,1972,4,2,1
872112,3,,2,1,2,1,,,,,2,,2,,2,,2,,1,2,1
872122,3,,2,1,2,1,2,2,2,2,2,,2,,1,2,,1998,2,4,1
