nquest,nord,intper,entepen,tipopen,decor,tpens,mesipen,arret,tarret,quotape
51013,2,1,2,1,2010,1650,13,2,0,90
51363,1,1,1,5,2009,650,13,2,0,
51444,1,1,1,1,2005,1100,13,2,0,90
51444,2,2,1,1,2008,918,13,2,0,80
51467,1,1,1,1,2002,700,13,2,0,80
51467,2,2,1,1,2002,400,13,2,0,80
51544,1,1,1,1,2013,1000,13,2,0,70
51544,2,2,1,2,2003,470,13,2,0,
51733,1,1,1,1,2002,1100,12,2,0,60
51733,2,1,1,1,2003,900,12,2,0,90
51895,1,1,1,1,1995,1100,13,2,0,90
51895,2,1,1,1,1998,1200,13,2,0,80
52700,1,1,1,5,2014,630,13,2,0,
52718,1,1,1,5,1999,490,13,2,0,
52736,2,1,1,1,1987,650,13,2,0,40
52736,3,1,1,4,1997,290,13,2,0,
53028,1,1,1,1,1993,500,13,2,0,70
53028,1,1,1,4,2004,450,12,2,0,
53109,1,1,1,1,1997,500,13,2,0,60
53109,1,1,1,5,1998,450,13,2,0,
53202,1,1,1,1,2006,1200,13,2,0,90
53202,2,1,1,1,2013,550,12,2,0,50
53234,1,1,1,1,2000,1100,13,2,0,40
53234,2,1,1,1,2000,1100,13,2,0,40
53373,2,2,1,1,2005,1700,13,2,0,80
53380,1,1,1,1,1997,900,13,2,0,70
53520,1,1,1,1,2007,1450,13,2,0,100
53520,1,1,2,4,1970,1100,13,2,0,
53549,1,1,1,1,1997,1600,13,2,0,130
53549,2,2,1,1,2004,920,13,2,0,80
53564,1,1,1,1,1990,2700,13,2,0,90
53596,1,1,1,1,2014,1000,13,2,0,70
53596,1,1,1,4,2015,390,13,2,0,
53871,2,1,1,1,2015,1000,13,2,0,80
53997,1,1,1,1,1985,1900,13,2,0,10
53997,1,1,1,5,2015,900,13,2,0,
54143,1,1,1,1,1990,600,14,2,0,50
54143,2,2,1,1,1987,1700,13,2,0,70
54143,3,1,1,3,2000,500,13,2,0,
54143,3,1,1,3,2010,300,13,2,0,
55147,1,1,1,1,2000,417,13,2,0,30
55147,2,2,1,1,1993,1200,13,2,0,60
55308,1,1,1,5,1999,800,12,2,0,
55430,2,1,1,1,1991,1200,13,2,0,80
55430,2,1,1,5,1999,600,13,2,0,
55636,3,1,1,5,1972,600,13,2,0,
55774,1,1,1,5,1995,800,13,2,0,
56251,1,1,1,5,1987,800,13,2,0,
56465,1,1,1,1,2010,1150,13,2,0,65
56465,1,1,6,1,2011,150,12,2,0,70
56563,1,1,1,1,2003,780,13,2,0,60
56563,2,1,1,1,2005,450,13,2,0,40
56582,2,2,1,1,2012,1250,13,2,0,100
56624,1,1,1,1,2011,1560,13,2,0,78
56624,2,2,1,1,2004,1244,13,2,0,79
56658,1,1,1,3,2000,1285,13,2,0,
56658,2,1,1,1,1983,416,13,2,0,90
56658,2,1,1,4,1977,1400,13,2,0,
56677,1,1,1,1,1981,1000,13,2,0,50
56677,2,1,1,1,1981,1000,13,2,0,50
56721,2,1,1,1,2008,1250,13,2,0,105
56721,3,1,1,5,1996,600,13,2,0,
56761,5,1,1,1,1991,1400,12,2,0,80
56761,6,1,1,1,1977,500,12,2,0,70
56762,1,1,1,1,1992,1700,12,2,0,90
57042,1,1,1,1,2003,640,12,2,0,60
57042,2,2,1,4,2013,260,12,2,0,
57138,1,1,2,1,2013,1600,13,2,0,80
57547,1,1,1,1,2003,1080,12,2,0,90
57547,2,2,1,4,2014,180,12,2,0,
57621,2,1,1,1,2002,1200,13,2,0,80
57779,2,2,1,1,2007,1500,12,2,0,60
58366,1,1,2,1,2006,1900,13,2,0,100
60078,1,1,1,4,2004,780,12,2,0,
91067,1,1,1,1,2015,1380,13,2,0,80
111052,1,1,1,1,1999,870,13,2,0,70
111052,2,1,1,1,1994,901,13,2,0,70
138399,1,1,1,1,2000,920,13,2,0,90
138399,1,1,1,5,2011,1000,13,2,0,
178001,1,1,1,1,2007,1280,13,2,0,70
193016,1,1,1,2,2000,500,13,2,0,
213440,1,1,1,1,2015,1600,13,2,0,90
224048,1,1,1,5,2014,580,13,2,0,
230029,1,1,1,1,1995,1200,13,2,0,80
230029,2,2,1,1,2006,502,14,2,0,60
230037,1,1,1,1,2005,1600,13,2,0,20
230037,2,2,1,1,2000,1100,13,2,0,20
237003,1,1,2,1,2010,2200,13,2,0,80
237003,2,1,2,1,2004,2500,13,2,0,80
244013,1,1,1,1,2004,900,13,2,0,80
244013,2,1,1,1,2014,889,13,2,0,70
250005,1,1,1,2,2015,400,12,2,0,
250005,2,1,1,2,2007,629,12,2,0,
250010,1,1,1,5,2009,550,12,2,0,
250039,1,1,1,5,1983,500,12,2,0,
279054,1,1,1,1,1997,800,13,2,0,60
279054,1,1,1,5,2015,300,13,2,0,
282083,1,1,1,1,2015,786,13,2,0,60
282089,2,1,1,1,2007,978,13,2,0,70
284086,1,1,1,1,2002,1000,13,2,0,70
284086,3,3,1,4,1992,620,13,2,0,
310002,2,1,1,1,1992,900,13,2,0,70
310005,1,1,1,5,2016,886,6,2,0,
321009,1,1,1,1,1996,1100,13,2,0,60
321009,2,2,1,2,1990,450,13,2,0,
330057,1,1,1,1,1991,430,13,2,0,60
330057,1,1,1,5,2001,1080,13,2,0,
332080,1,1,1,1,2012,1000,13,2,0,70
332080,2,1,1,4,2013,270,13,2,0,
333081,1,1,1,1,1995,3000,13,2,0,70
333081,1,1,5,1,2009,200,13,2,0,20
355063,1,1,1,5,1985,650,14,2,0,
365034,1,1,1,1,2007,1200,12,2,0,70
387029,1,1,1,1,2003,2500,13,2,0,80
500001,2,1,1,1,2002,1100,13,2,0,70
500004,1,1,1,5,2013,400,13,2,0,
500004,2,4,1,4,1967,290,13,2,0,
500004,3,1,1,4,1967,290,13,2,0,
500004,4,1,1,4,1968,290,13,2,0,
500026,1,1,1,1,2015,980,12,2,0,75
500090,1,1,1,1,1997,850,13,2,0,80
500176,2,1,1,1,2008,1300,13,2,0,80
500674,1,1,1,1,1999,1196,13,2,0,90
500674,2,2,1,1,1993,1520,13,2,0,80
501068,1,1,1,1,2008,1000,13,2,0,60
501082,1,1,1,1,2014,1700,13,2,0,70
501627,1,1,1,5,2006,1100,13,2,0,
501694,1,1,1,1,2011,1000,13,2,0,80
501694,2,2,1,1,2015,1200,13,2,0,95
501816,1,1,1,5,1996,600,12,2,0,
501874,1,1,1,1,1995,1350,14,2,0,90
502364,1,1,1,1,1993,500,13,2,0,100
502364,1,1,6,5,2014,1200,12,2,0,
502772,1,1,1,1,2001,1100,13,2,0,100
503560,1,1,1,1,2010,1500,13,2,0,80
503561,1,1,1,1,2002,2200,13,2,0,80
503561,2,2,1,1,1988,750,13,2,0,80
503674,1,1,1,1,2006,3200,13,2,0,90
503674,1,1,5,1,2015,135,13,2,0,90
503788,1,1,1,1,1999,995,13,2,0,50
503788,2,1,1,1,2004,650,13,2,0,65
503931,1,1,1,1,2012,2000,13,2,0,90
503931,2,2,1,1,2011,2000,13,2,0,90
503981,1,1,1,1,2000,500,13,2,0,50
503981,1,1,1,5,2015,1200,13,2,0,
504091,1,1,1,1,1992,800,13,2,0,90
504091,2,2,1,1,2001,500,13,2,0,90
504363,1,1,1,1,1998,1200,13,2,0,75
504380,1,1,1,1,1985,930,13,2,0,70
504395,1,1,1,5,1993,280,13,2,0,
504395,2,2,1,5,1993,190,13,2,0,
504551,1,1,1,1,1997,500,13,2,0,80
504551,1,1,1,5,2002,500,13,2,0,
504730,1,1,1,1,1997,780,13,2,0,50
504730,2,1,1,1,2007,550,13,2,0,60
504792,1,1,1,1,2005,1500,13,2,0,80
504792,2,2,1,1,2003,1200,13,2,0,80
504885,1,1,1,1,2006,500,13,2,0,100
504889,1,1,1,1,2008,2400,13,2,0,70
505167,1,1,1,1,1991,1200,12,2,0,90
505167,2,2,1,1,1989,900,12,2,0,90
505228,1,1,1,1,2011,2000,13,2,0,90
505228,1,1,1,5,2001,500,13,2,0,
505243,1,1,1,1,2000,2100,13,2,0,90
505243,2,2,1,1,2011,538,13,2,0,80
505407,1,1,1,1,1993,500,13,2,0,50
505407,1,1,1,5,1991,460,13,2,0,
505517,1,1,1,1,2010,845,13,2,0,80
505517,2,2,1,1,2005,1300,13,2,0,80
505525,1,1,1,1,1995,1100,13,2,0,80
505525,2,1,1,1,2007,900,13,2,0,80
505534,1,1,1,1,2011,1480,13,2,0,70
505540,1,1,1,1,1985,350,13,2,0,50
505540,1,1,1,5,1985,700,13,2,0,
505576,1,1,1,1,1989,800,13,2,0,60
505576,2,1,1,1,1999,500,13,2,0,60
505594,1,1,1,1,2007,850,13,2,0,80
505606,1,1,1,1,2010,1100,13,2,0,80
505606,1,1,1,5,2014,1800,13,2,0,
505655,1,1,1,1,2013,2900,13,2,0,50
505672,1,1,1,1,2008,870,13,2,0,70
505672,2,2,1,1,2008,1090,13,2,0,80
505681,1,1,1,5,2000,680,13,1,400,
505771,1,1,1,1,1991,2000,13,2,0,40
505806,1,1,1,1,1983,700,13,2,0,80
505806,1,1,1,5,1991,300,13,2,0,
505806,2,2,1,1,2015,1200,13,2,0,85
505810,1,1,1,1,2010,900,13,2,0,25
506025,1,1,1,1,1996,1420,13,2,0,95
506025,2,2,1,1,2006,1450,13,2,0,80
506100,1,1,1,1,1993,410,13,2,0,50
506100,1,1,1,5,2011,300,13,2,0,
506107,2,1,1,1,2006,850,13,2,0,70
506112,1,1,1,1,1991,480,13,2,0,60
506112,1,1,1,5,2016,900,13,2,0,
506152,1,1,1,1,1997,300,13,2,0,40
506152,1,1,1,5,1990,330,13,2,0,
506195,1,1,1,1,1985,580,13,2,0,50
506385,1,1,1,1,1994,1400,13,2,0,80
506402,1,1,1,1,2001,500,13,2,0,70
506402,1,1,1,5,2014,448,13,2,0,
506418,1,1,1,1,1998,499,14,2,0,50
506418,2,2,1,1,1989,500,14,2,0,50
506446,1,1,1,1,2005,1550,13,2,0,90
506446,2,1,1,1,2000,1500,13,2,0,100
506565,1,1,1,1,2006,1500,13,2,0,60
506565,2,2,1,1,2011,3100,13,2,0,90
506613,1,1,1,2,1988,600,13,2,0,
506628,2,1,1,1,2016,1570,13,2,0,80
506736,1,1,1,1,2001,1800,13,2,0,100
506736,2,2,1,1,1999,1770,13,2,0,98
506758,1,1,1,1,1995,1750,13,2,0,100
506767,1,1,1,1,1997,1400,13,2,0,98
506798,1,1,1,1,2010,1200,13,2,0,80
506798,2,1,1,1,2015,800,13,2,0,70
506799,1,1,1,1,2011,1500,13,2,0,70
506799,2,1,1,1,2006,1600,13,2,0,80
507157,1,1,1,5,1993,620,13,2,0,
507182,1,1,1,1,2005,1595,13,2,0,95
507182,2,2,1,1,2006,145,14,2,0,20
507303,1,1,1,1,1999,1200,13,2,0,20
507303,2,2,1,1,2003,1200,12,2,0,40
507316,1,1,1,1,1994,1295,13,2,0,60
507316,2,2,1,1,2000,620,13,2,0,60
507319,1,1,1,1,1996,870,12,2,0,30
507336,1,1,1,1,2010,1500,13,2,0,70
507336,2,1,1,1,2009,1300,13,2,0,70
507360,2,1,1,1,2015,1200,13,2,0,80
507419,1,1,1,1,2004,1507,13,2,0,98
507444,1,1,1,5,2014,250,13,2,0,
507542,2,1,1,3,2006,1345,13,2,0,
507544,1,1,1,1,2015,1600,13,2,0,90
507544,3,3,1,4,2010,800,12,2,0,
507552,1,1,1,5,2010,500,13,2,0,
507557,1,1,1,1,1999,1200,13,2,0,
507640,1,1,1,1,2004,1200,13,2,0,90
507640,2,2,1,1,1989,1290,13,2,0,90
507644,2,2,2,1,2011,1100,13,2,0,90
507728,2,2,1,1,2006,1670,12,2,0,90
507823,1,1,1,1,2008,1699,13,2,0,80
507823,1,1,1,5,1986,550,13,2,0,
507863,1,1,1,1,2006,328,13,2,0,70
507863,1,1,1,1,2006,1200,13,2,0,80
507905,2,2,1,1,1997,1800,13,2,0,90
507908,1,1,1,5,2015,1450,13,2,0,
507913,1,1,1,5,1993,415,13,2,0,
507924,2,1,1,1,2008,1000,13,2,0,70
508305,1,1,1,1,1985,750,13,2,0,70
508305,1,1,1,5,1995,250,13,2,0,
508861,1,1,1,1,2006,1190,13,2,0,90
508861,2,1,1,1,2006,1160,13,2,0,90
