nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
913173,15800,0,0,0,12200,0,0,0,12200,0,0,12200,12200,0,0,0,0,3600,3600,0,3600,0,0,0,0,0,3,2
913196,18822.676111,0,0,0,10400,23400,23400,0,-13000,0,0,-13000,0,13000,0,0,0,8422.6761106,8400,0,8400,22.676110584,22.676110584,0,0,0,4,2
913200,15110.483066,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,6010.4830656,6000,0,6000,10.483065583,10.483065583,0,0,0,3,2
913202,29309.776732,0,0,0,19630,19630,19630,0,0,0,0,0,0,0,0,0,0,9679.7767315,9600,0,9600,79.776731514,79.776731514,0,0,0,6,3
913203,21674.48101,0,0,0,14500,16900,16900,0,-2400,0,0,-2400,0,2400,0,0,0,7174.4810098,7000,0,7000,174.48100981,31.117936277,0,143.36307354,0,5,3
913207,50542.232533,25000,25000,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,7342.2325333,7200,0,7200,142.23253331,19.239264709,122.9932686,0,0,9,5
913208,32472.034046,21670,21670,0,1200,0,0,0,1200,1200,0,0,0,0,0,0,0,9602.0340464,9600,0,9600,2.0340463831,2.0340463831,0,0,0,7,4
913211,5800,4800,4800,0,1000,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
913212,16227.486411,16200,16200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.486411392,0,0,0,27.486411392,27.486411392,0,0,0,3,2
913216,17102.186646,11700,11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5402.1866461,5400,0,5400,2.1866461403,2.1866461403,0,0,0,3,2
913224,37667.124563,37500,37500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.12456287,0,0,0,167.12456287,9.9678388521,27.50606168,129.65066234,0,8,4
913227,39069.67721,35500,35500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3569.6772098,8400,0,8400,-4830.32279,11.595300084,0,0,4841.9180903,8,4
913228,31032.717063,0,0,0,25610,25610,25610,0,0,0,0,0,0,0,0,0,0,5422.717063,5400,0,5400,22.717063025,22.717063025,0,0,0,7,4
913229,9001.8655505,16000,16000,0,-7000,0,0,0,-7000,0,0,-7000,0,7000,0,0,0,1.8655504971,0,0,0,1.8655504971,1.8655504971,0,0,0,1,1
913236,23704.292172,0,0,0,18850,18850,18850,0,0,0,0,0,0,0,0,0,0,4854.2921725,4800,0,4800,54.29217247,54.29217247,0,0,0,5,3
913237,55064.214142,14300,14300,0,33540,33540,33540,0,0,0,0,0,0,0,0,0,0,7224.2141415,7200,0,7200,24.214141515,24.214141515,0,0,0,9,5
913243,25246.067359,0,0,0,19240,19240,19240,0,0,0,0,0,0,0,0,0,0,6006.0673591,6000,0,6000,6.0673591483,6.0673591483,0,0,0,6,3
913245,10668.60419,0,0,0,5860,15860,15860,0,-10000,0,0,-10000,0,10000,0,0,0,4808.6041902,4800,0,4800,8.6041902304,8.6041902304,0,0,0,1,1
913246,27511.735789,0,0,0,20280,20280,20280,0,0,0,0,0,0,0,0,0,0,7231.7357893,7200,0,7200,31.735789313,31.735789313,0,0,0,6,3
913250,22965.929857,0,0,0,17550,17550,17550,0,0,0,0,0,0,0,0,0,0,5415.9298574,5400,0,5400,15.929857371,15.929857371,0,0,0,5,3
913253,20805.16405,11700,11700,0,700,0,0,0,700,0,0,700,700,0,0,0,0,8405.1640495,8400,0,8400,5.1640495065,5.1640495065,0,0,0,4,2
913254,34672.821688,0,0,0,29250,29250,29250,0,0,0,0,0,0,0,0,0,0,5422.8216884,5400,0,5400,22.821688365,22.821688365,0,0,0,7,4
913259,23835.922272,19000,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4835.9222723,4800,0,4800,35.922272314,35.922272314,0,0,0,5,3
913260,42825.101724,38000,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4825.1017235,4800,0,4800,25.101723507,25.101723507,0,0,0,8,4
913270,20516.52832,20500,20500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.528320192,0,0,0,16.528320192,16.528320192,0,0,0,4,2
913293,19203.849574,0,0,0,13200,13200,13200,0,0,0,0,0,0,0,0,0,0,6003.8495743,6000,0,6000,3.8495742982,3.8495742982,0,0,0,4,2
913299,37004.076461,25000,25000,0,12000,12000,12000,0,0,0,0,0,0,0,0,0,0,4.0764613179,0,0,0,4.0764613179,4.0764613179,0,0,0,8,4
913300,35011.932064,29000,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6011.9320635,6000,0,6000,11.932063544,11.932063544,0,0,0,7,4
