nquest,ctit,nctit,ictit,unaban,banche,scoper,utscoper,mesiscoper,vmscoper,fscoper,fscoper1,carta,carte,usocart,cartdeb,cartdeb1,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,trading,DEPOSIT,NDEPOSIT
907441,1,1,2,1,1,1,1,1,500,0,,1,3,2,,,1,3,1,3,500,1,2,1,3
907490,2,,,1,1,1,2,,,,,1,2,2,,,1,2,1,1,1000,1,2,1,2
907535,2,1,1,1,1,2,,,,,,2,,,,,2,,2,,1100,2,,1,1
907536,2,1,1,1,1,2,,,,,,2,,,,,2,,2,,1100,2,,1,1
907544,2,,,1,1,2,,,,,,2,,,,,1,1,2,,900,2,,1,1
907560,2,1,1,1,1,2,,,,,,1,1,2,,,1,1,2,,1200,2,,1,1
907570,2,,,2,3,1,1,2,1500,1500,,1,2,2,,,1,2,1,1,1500,1,1,1,4
907575,2,,,1,1,2,,,,,,1,1,2,,,1,1,2,,1600,2,,1,1
907591,2,1,1,1,1,1,2,,,,,2,,,,,1,1,2,,600,2,,1,1
907607,1,1,2,1,1,3,,,,,,1,1,2,,,1,2,2,,700,1,2,1,1
907609,2,1,1,1,1,2,,,,,,2,,,,,1,2,2,,300,2,,1,1
907614,1,1,2,1,1,3,,,,,,1,1,2,,,1,2,2,,700,1,2,1,2
907637,2,,,1,1,2,,,,,,2,,,,,1,1,1,1,800,2,,1,1
907644,2,,,2,2,2,,,,,,1,2,1,,,1,2,2,,700,1,1,1,5
907648,2,,,1,1,2,,,,,,2,,,,,1,1,2,,800,2,,1,2
907674,1,1,1,1,1,1,2,,,,,1,1,2,,,1,1,2,,1300,1,2,1,1
907692,2,1,1,1,1,2,,,,,,2,,,,,1,2,1,2,1000,1,2,1,1
907711,2,,,1,1,1,2,,,,,1,2,2,,,1,4,2,,1000,1,2,1,3
907715,2,1,1,1,1,2,,,,,,1,1,1,,,1,2,1,1,1000,1,2,1,1
907726,2,,,2,2,2,,,,,,1,1,2,,,1,2,1,1,1200,1,2,1,4
907738,2,,,2,3,2,,,,,,1,3,2,,,1,3,2,,350,2,,1,3
907776,1,1,1,1,1,3,,,,,,1,1,2,,,1,1,2,,600,1,2,1,1
907777,2,,,1,1,2,,,,,,2,,,,,1,1,1,1,800,2,,1,1
907789,1,1,2,1,1,3,,,,,,2,,,,,1,1,2,,900,2,,1,2
907795,2,,,1,1,2,,,,,,2,,,,,1,1,2,,600,2,,1,1
907808,2,,,1,1,2,,,,,,2,,,,,1,1,1,2,500,1,2,1,2
907846,2,,,1,1,2,,,,,,2,,,,,1,1,1,2,300,1,2,1,1
907852,2,,,1,1,1,2,,,,,1,1,2,,,1,1,2,,600,1,2,1,1
907882,2,,,1,1,2,,,,,,2,,,,,1,1,1,1,600,1,2,1,1
907890,2,,,1,1,2,,,,,,2,,,,,1,1,2,,700,2,,1,1
907891,,,,,,,,,,,,2,,,,,2,,2,,500,2,,1,1
907941,,,,,,,,,,,,2,,,,,2,,2,,700,2,,2,0
907944,,,,,,,,,,,,2,,,,,2,,2,,1800,2,,2,0
907946,,,,,,,,,,,,2,,,,,2,,2,,1000,2,,2,0
907954,,,,,,,,,,,,2,,,,,2,,2,,1500,2,,2,0
907985,1,1,2,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
908005,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
908051,2,,,1,1,3,,,,,,2,,,,,1,3,1,1,500,2,,1,3
908053,,,,,,,,,,,,2,,,,,2,,2,,1000,2,,2,0
908054,2,,,1,1,2,,,,,,2,,,,,1,2,2,,400,2,,1,2
908194,2,,,1,1,1,2,,,,,1,2,2,,,1,2,2,,500,1,2,1,2
908208,,,,,,,,,,,,2,,,,,2,,2,,200,2,,2,0
908214,2,,,1,1,2,,,,,,2,,,,,2,,2,,600,2,,1,1
908344,,,,1,1,,,,,,,2,,,,,2,,2,,570,2,,1,1
908360,2,,,1,1,1,2,,,,,1,1,2,,,1,2,2,,600,1,2,1,2
908384,2,,,1,1,2,,,,,,2,,,,,1,1,2,,800,2,,1,1
