nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,occnow,problav1,cerc2,problav2,finelav,etalav2,etapen,coppu,coppmax,coppmin,prevcom,coppip
912898,1,2,1,2,1,14,1,4,,2,,,,2007,,,,,,,
912899,1,1,2,,,20,1,4,,2,,1,80,1996,,,,,,,
912899,2,,,,,,,,,,,,,,,,,,,,
912899,3,0,,,,,,,,2,,2,,,,,,,,,
912900,1,4,1,4,3,16,1,43,,2,,,,2015,,,,,,,
912900,2,1,2,,,20,1,34,,1,,2,,,,,,,,2,
912900,3,0,,,,,,,,2,,2,,,,,,,,,
912903,1,1,1,1,,26,1,31,,1,100,2,,,,67,75,85,70,2,
912905,1,6,1,1,3,28,1,18,,1,100,2,,,38,67,70,70,60,2,
912905,2,3,2,,3,25,1,15,,1,,1,,,40,,,,,2,
912906,1,6,1,1,3,15,1,38,,1,100,1,0,,31,62,60,70,55,,
912906,2,2,1,10,3,18,1,6,,1,100,2,,,33,65,70,75,65,,
912912,1,1,2,,,25,1,9,,1,100,2,,,,65,30,40,30,2,
912913,1,1,2,,,18,1,17,,1,100,2,,,,60,80,82,75,,
912913,2,5,1,3,1,18,1,15,,1,,2,,,44,,,,,,
912926,1,4,2,,3,21,1,29,,1,100,2,,,33,65,80,85,75,2,
912926,2,1,2,,,19,1,33,,1,,2,,,,,,,,,
912926,3,0,,,,,,,,2,,2,,,,,,,,,
912926,4,,,,,,,,,,,,,,,,,,,,
912928,1,3,2,,1,27,1,10,,1,100,2,,,34,65,60,60,60,2,
912935,1,1,2,,,17,1,43,,2,,,,2014,,,,,,,
912935,2,2,1,7,1,16,1,28,,1,100,1,100,,29,63,80,80,75,,
912935,3,2,1,2,3,19,1,4,,1,100,1,100,,26,65,70,70,65,,
912935,4,0,,,,,,,,2,,1,,,,,,,,,
912935,5,0,,,,,,,,2,,1,,,,,,,,,
912936,1,4,1,2,1,26,1,17,,1,0,2,,,29,67,90,90,70,,
912936,2,2,2,,1,23,1,40,,2,,,,2002,,,,,,,
912936,3,2,2,,1,19,1,26,,1,,2,,,25,,,,,2,
912938,1,5,2,,1,25,1,19,,1,100,2,,,33,67,70,70,70,2,
912941,1,3,2,,1,18,1,19,,1,100,2,,,27,65,80,80,65,2,
912941,2,0,,,,,,,,2,,2,,,,,,,,,
912941,3,,,,,,,,,,,,,,,,,,,,
912944,1,1,2,,,17,1,33,,1,100,2,,,,65,60,60,55,,
912946,1,1,2,,,20,1,12,,1,100,1,0,,,65,80,80,76,2,
912947,1,1,2,,,26,1,20,,1,100,2,,,,70,100,100,10,2,
912956,1,5,2,,1,19,1,5,,2,,,,2015,,,,,,,
912960,1,1,2,,,19,1,27,,1,100,2,,,,65,80,85,75,,
912960,2,1,2,,,44,1,8,,1,,2,,,,,,,,2,
912960,3,2,2,,1,18,1,7,,1,100,2,,,26,65,80,80,70,2,
912964,1,2,2,,1,22,1,7,,1,100,2,,,29,63,70,80,70,1,85
912968,1,1,2,,,25,1,10,,1,100,2,,,,75,100,100,5,3,
912968,2,0,,,,,,,,2,,2,,,,,,,,,
912977,1,5,2,,3,23,1,8,,1,100,2,,,39,67,60,65,55,2,
912977,2,3,2,,1,23,1,8,,1,,1,,,36,,,,,2,
912979,1,1,2,,,21,1,20,,1,70,2,,,,60,70,70,70,2,
912979,2,,,,,,,,,,,,,,,,,,,,
912986,1,2,2,,1,23,1,12,,1,100,1,10,,26,65,60,65,60,1,80
912986,2,3,2,,1,23,1,12,,1,100,2,,,25,65,60,65,55,1,80
912999,1,1,2,,,21,1,14,,1,0,2,,,,65,70,75,65,,
913002,1,1,1,2,,22,1,18,,1,0,1,0,,,65,60,65,55,,
913004,1,4,2,,1,22,1,15,,1,100,2,,,36,65,60,65,55,2,
913010,1,1,,2,,19,2,,,1,70,1,50,,,,,,,,
913012,1,2,1,1,1,18,1,5,,2,,1,80,2017,23,65,70,80,65,2,
913012,2,1,2,,,18,1,5,,1,,2,,,,,,,,2,
913024,1,2,2,,1,24,1,7,,1,100,2,,,29,62,100,100,80,1,100
913028,1,1,2,,,19,1,17,,1,100,2,,,,67,80,85,70,2,
