nquest,anmutuo31,anmutuo32,anmutuo33,anmutuo34,debgar31_1,debgar32_1,debgar33_1,debgar34_1,debgar31_2,debgar32_2,debgar33_2,debgar34_2,debgar31_3,debgar32_3,debgar33_3,debgar34_3,debgar31_4,debgar32_4,debgar33_4,debgar34_4,debgar31_5,debgar32_5,debgar33_5,debgar34_5,debm31,debm32,debm33,debm34,debpers31,debpers32,debpers33,debpers34,debrf31,debrf32,debrf33,debrf34,mutuodu31,mutuodu32,mutuodu33,mutuodu34,mutuoin31,mutuoin32,mutuoin33,mutuoin34,taeg11,taeg12,taeg13,taeg14,tdebita31,tdebita32,tdebita33,tdebita34,tipotax31,tipotax32,tipotax33,tipotax34,tmutuoab31,tmutuoab32,tmutuoab33,tmutuoab34
735621,2015,2015,,,0,0,,,1,0,,,0,0,,,0,1,,,0,0,,,1,1,,,,1,,,2,2,,,5,2,,,16000,3000,,,5,,,,14500,1350,,,1,3,,,3600,1440,,
735659,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,2,,,,2500,,,,,,,,800,,,,3,,,,1200,,,
736010,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,6000,,,,0,,,,2300,,,,1,,,,2200,,,
736935,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,4,,,,8000,,,,4,,,,4000,,,,1,,,,2000,,,
737902,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,5,,,,12400,,,,7,,,,7500,,,,1,,,,3360,,,
800010,2010,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,10,,,,8000,,,,3,,,,500,,,,1,,,,2160,,,
800702,2015,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,3,,,,4500,,,,12.44,,,,2000,,,,1,,,,1500,,,
800901,2013,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,4,,,,15000,,,,2,,,,5000,,,,1,,,,4000,,,
801221,2013,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,7,,,,14000,,,,5,,,,5000,,,,1,,,,2160,,,
801279,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,5,,,,10000,,,,4,,,,9400,,,,1,,,,600,,,
801803,2015,,,,1,,,,0,,,,0,,,,0,,,,0,,,,2,,,,,,,,2,,,,2,,,,2400,,,,7.8,,,,800,,,,1,,,,1236,,,
801966,2012,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,2,,,,2,,,,5,,,,10000,,,,2.5,,,,2500,,,,1,,,,3350,,,
801972,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,2,,,,2,,,,10,,,,30000,,,,5.5,,,,29500,,,,1,,,,1000,,,
802914,2009,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,2,,,,2,,,,10,,,,20000,,,,5,,,,6000,,,,1,,,,3000,,,
803483,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,1,,,,2000,,,,,,,,1400,,,,3,,,,600,,,
804534,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,4,,,,4200,,,,,,,,3800,,,,3,,,,550,,,
805227,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,1,,,,5,,,,10000,,,,6.7,,,,9000,,,,1,,,,2000,,,
805330,2016,2016,,,1,1,,,0,0,,,0,0,,,0,0,,,0,0,,,2,2,,,,,,,2,2,,,3,3,,,1000,3000,,,7,7,,,600,2500,,,1,1,,,500,500,,
806282,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,20,,,,7000,,,,,,,,4000,,,,3,,,,2300,,,
806983,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,5,,,,12000,,,,6.1,,,,10500,,,,1,,,,2664,,,
807142,2014,2014,,,1,1,,,0,0,,,0,0,,,0,0,,,0,0,,,1,1,,,,,,,2,2,,,4,4,,,35000,25000,,,3,3,,,15000,17000,,,1,1,,,8400,6000,,
807146,2012,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,5,,,,12000,,,,7.75,,,,2000,,,,1,,,,3600,,,
808182,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,2,,,,840,,,,,,,,420,,,,3,,,,500,,,
808712,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,2,,,,5000,,,,,,,,250,,,,3,,,,3000,,,
809488,2015,2016,,,1,1,,,0,0,,,0,0,,,0,0,,,0,0,,,1,2,,,,,,,2,2,,,5,1,,,11900,1000,,,4.5,3,,,9200,830,,,1,1,,,,,,
819517,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,2,,,,2000,,,,,,,,1500,,,,3,,,,500,,,
820171,2012,,,,0,,,,1,,,,0,,,,0,,,,0,,,,4,,,,,,,,1,,,,15,,,,25000,,,,5,,,,20000,,,,1,,,,7200,,,
820707,2014,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,6,,,,10000,,,,4.75,,,,7500,,,,2,,,,2600,,,
824808,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,2,,,,2000,,,,,,,,1000,,,,3,,,,1000,,,
826456,2015,2016,,,0,0,,,0,0,,,0,0,,,1,1,,,0,0,,,1,1,,,1,1,,,2,2,,,3,1,,,5500,3200,,,5.9,7.9,,,2800,1600,,,1,1,,,2160,1600,,
850013,2014,2016,,,0,0,,,0,0,,,0,0,,,1,1,,,0,0,,,1,1,,,1,1,,,2,2,,,4,4,,,12000,6000,,,7.5,7.5,,,3000,5800,,,1,1,,,3600,1000,,
851172,2014,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,12000,,,,,,,,2000,,,,3,,,,4800,,,
854306,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,3,,,,14200,,,,3.6,,,,11986,,,,1,,,,2214,,,
854435,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,10,,,,8000,,,,,,,,8000,,,,3,,,,1200,,,
856688,2015,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,5,,,,11000,,,,7,,,,7500,,,,1,,,,3000,,,
857273,2013,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,5,,,,10000,,,,3,,,,2400,,,,1,,,,2400,,,
857353,2007,,,,0,,,,1,,,,0,,,,0,,,,0,,,,4,,,,,,,,1,,,,15,,,,30000,,,,6,,,,28000,,,,2,,,,5000,,,
857514,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,4,,,,10000,,,,5.9,,,,9000,,,,1,,,,1000,,,
859459,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,5000,,,,,,,,4500,,,,3,,,,1220,,,
860704,2014,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,6,,,,15000,,,,,,,,5200,,,,3,,,,,,,
860940,2014,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,10,,,,12000,,,,5,,,,9000,,,,1,,,,11000,,,
863239,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,5,,,,6500,,,,5.4,,,,5500,,,,1,,,,1000,,,
863397,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,4,,,,25000,,,,5.76,,,,23000,,,,1,,,,2000,,,
863863,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,10000,,,,3,,,,7000,,,,1,,,,3000,,,
865357,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,5500,,,,7,,,,4000,,,,1,,,,2070,,,
865780,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,5,,,,12000,,,,2.5,,,,10000,,,,1,,,,2600,,,
867462,2006,2015,2016,,0,0,0,,0,0,0,,0,0,0,,1,1,1,,0,0,0,,1,1,1,,1,1,1,,1,2,3,,12,4,2,,21000,4000,1000,,5.9,5.9,7.5,,3000,2000,500,,1,1,1,,3300,1700,500,
