nquest,anabit,godabit,unipro,quopro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,poss,impacq,fittonop,tfittonop,tfitto,tipoaff,dfittom,tfittom,propriet,tfitimp,tfitimp2,ritaff,supab,ancostr,bagni,valabit,aspvalabit1_1,aspvalabit1_2,aspvalabit1_3,aspvalabit1_4,aspvalabit1_5,aspvalabit2_1,aspvalabit2_2,aspvalabit2_3,aspvalabit2_4,aspvalabit2_5,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra11,tmanstra11,manstra12,tmanstra12,manstra21,tmanstra21,manstra22,tmanstra22,energia,tenergia,tenergian,ristrut,tristrut,tristrutn,debita1,ndebita1,debita2,ndebita2,debitc,ndebitc,debitd,ndebitd,debite,ndebite,debitf,ndebitf,debitg,ndebitg,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,fmutrif,mutuoe,mutuorif,reapmut,mutuor3,mutuoe3,reapmut3,mutuoric,mutuoric3,casafut,ncasafut,cla_ered,cla_ered2,intpersezd,docsezd,ROTAZIONE
860525,1998,1,1,100,1998,1,,,,,,,,,1,150000,,,,,,,,800,,,240,1985,2,500000,0,0,100,0,0,,,,,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,1,1,1,,,,,,,,1,1,2,,1,2,1
860573,1998,1,1,100,1998,1,2,,,,,,,,1,100000,,,,,,,,500,,,140,1966,2,130000,0,0,10,40,50,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,1,1
860684,1990,1,1,100,1990,1,,,,,,,,,4,,,,,,,,,,200,,95,1960,1,90000,,,,,,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
860688,1979,1,1,100,1995,1,,,,,,,,,4,,,,,,,,,300,,,90,1939,1,90000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,1
860704,1996,5,,,,,,,,,,,,,,,,,,,,,1,,800,,80,1964,1,200000,,,,,,20,20,20,20,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,1,1,2,,2,,2,,2,,,1,2,2,,2,,2,,,,,1,1,,,,2,,,,1,1,2
860726,1995,1,1,100,1995,1,,,,,,,,,6,,,,,,,,,,650,,65,1800,1,160000,,,,,,20,20,20,20,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,1,2,,,,1,2,2
860757,2006,5,,,,,,,,,,,,,,,,,,,,,2,,400,,120,2002,2,70000,,,,,,100,0,0,0,0,2,,2,,2,,2,,2,,1,2000,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
860780,2008,1,1,100,1987,2,,,,,,,,,6,,,,,,,,,,250,,90,1960,1,45000,,,,,,100,0,0,0,0,2,,2,,2,,2,,2,,1,1100,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,2
860783,2002,2,,,,,,,,,,,,,,,,,30,6,2,,7,,,2,60,1990,1,50000,100,0,0,0,0,,,,,,2,,2,,2,,2,,2,,1,700,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
860787,1984,5,,,,,,,,,,,,,,,,,,,,,3,200,,,100,1982,1,70000,100,0,0,0,0,,,,,,2,,2,,2,,2,,2,,1,1160,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
860799,2015,4,,,,,,,,,,,,,,,,,,,,,2,800,,,150,1960,2,400000,20,20,20,20,20,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,1,10000,2,,,,,1,3,2,,,2,,,,1,2,1
860820,2008,2,,,,,,,,,,,,,,,,,380,1,2,,4,,,2,80,1960,1,120000,,,,,,0,20,60,20,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,2
860826,1998,1,1,100,2001,1,2,,,,,,,,4,,,,,,,,,,450,,100,1970,2,150000,,,,,,0,30,50,20,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
860900,1988,1,1,100,1992,1,,,,,,,,,6,,,,,,,,,,500,,80,1965,1,120000,,,,,,50,30,15,5,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,1,2
860929,1966,1,1,100,1966,1,,,,,,,,,1,9000,,,,,,,,600,,,90,1930,1,180000,0,0,80,20,0,,,,,,2,,2,,2,,2,,2,,2,,1,2500,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
860940,1978,1,1,100,1978,1,2,,,,,,,,1,22000,,,,,,,,,700,,110,1976,2,310000,,,,,,20,40,30,10,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,1,1,2,,2,,2,,,2,2,2,,1,60000,2,,,,,1,1,,,,2,,,,1,2,2
860963,1957,1,1,100,1992,1,,,,,,,,,6,,,,,,,,,,500,,105,1950,2,110000,,,,,,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1,1,,2,1,2,2
860977,2002,1,2,30,2002,1,2,,,,,,,,8,60000,2,,,,,,,,400,,80,1950,1,80000,,,,,,10,20,40,20,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,1,,,,,,1,2,2
860985,1983,1,1,100,1983,1,2,,,,,,,,4,,,,,,,,,,1200,,240,1983,2,800000,,,,,,0,0,100,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
861061,2003,1,1,100,2002,1,2,,,,,,,,1,230000,,,,,,,,,700,,115,1985,2,180000,,,,,,30,40,30,0,0,1,1,1,1,2,,2,,2,,2,,1,2000,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1,2,,2,2,2,2
861065,1973,1,1,100,1987,1,2,,,,,,,,1,50000,,,,,,,,,750,,100,1959,1,350000,,,,,,30,70,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
861272,1980,2,,,,,,,,,,,,,,,,,560,2,2,,4,,,2,100,1967,1,200000,10,13,17,23,37,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,1
861452,1985,1,1,100,1985,1,2,,,,,,,,7,20000,,,,,,,,,400,,100,1985,1,200000,,,,,,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,2,2,2
861471,2002,1,1,100,1963,1,,,,,,,,,7,7000,,,,,,,,700,,,105,1963,1,230000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,1,3000,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,1,3,1,,,,,,,,2,,,,1,2,1
861502,1966,1,1,100,1980,1,,,,,,,,,3,90000,,,,,,,,,500,,95,1966,1,140000,,,,,,0,20,50,30,0,2,,2,,2,,2,,2,,1,3000,1,5000,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
861508,1990,2,,,,,,,,,,,,,,,,,150,2,1,300,7,,,2,80,1980,1,100000,30,20,10,20,20,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,1,10000,2,,,,,2,,,2,2,2,,,,1,2,1
861578,1998,2,,,,,,,,,,,,,,,,,500,1,2,,4,,,2,90,1970,1,210000,20,20,20,20,20,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
861581,1992,2,,,,,,,,,,,,,,,,,500,1,2,,4,,,2,80,1970,1,180000,20,20,30,20,10,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1,1,2,,1,2,1
861584,1987,1,1,100,1987,1,2,,,,,,,,1,50000,,,,,,,,450,,,150,1980,2,210000,5,10,45,30,10,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
861731,1980,1,1,100,2000,1,,,,,,,,,3,45000,,,,,,,,400,,,90,1970,1,80000,40,60,0,0,0,,,,,,2,,2,,2,,2,,2,,1,800,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,1,2,1,,,,,,,,2,,,,1,2,1
861752,1970,2,,,,,,,,,,,,,,,,,140,6,2,,7,,,2,65,1970,1,40000,,,,,,0,0,0,100,0,2,,2,,2,,2,,2,,1,800,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
861850,1985,1,1,100,1985,1,2,,,,,,,,7,60000,,,,,,,,800,,,160,1985,2,240000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,1,3000,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,2,2,1
861949,1986,1,1,100,1986,1,,,,,,,,,5,50000,,,,,,,,,600,,130,1970,2,300000,,,,,,20,50,10,20,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
861954,1995,1,1,100,2009,1,,,,,,,,,6,,,,,,,,,,350,,105,1970,2,170000,,,,,,50,10,20,10,10,1,1,2,,1,1,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
861992,1992,1,1,100,1989,1,,,,,,,,,1,40000,,,,,,,,,400,,70,1850,1,100000,,,,,,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
862003,1967,1,1,100,2004,1,,,,,,,,,4,,,,,,,,,500,,,100,1966,1,150000,0,0,80,20,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,1
862007,1977,5,,,,,,,,,,,,,,,,,,,,,2,,350,,100,1975,1,120000,,,,,,0,0,0,100,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
862012,1976,1,1,100,1977,1,,,,,,,,,7,30000,,,,,,,,,1000,,180,1975,2,700000,,,,,,0,0,80,10,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,2
862062,2001,1,1,100,2001,1,,,,,,,,,8,100000,,,,,,,,800,,,220,1940,2,280000,10,70,20,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1,2,3,,1,2,1
862075,1962,1,1,100,1962,1,,,,,,,,,3,2000,,,,,,,,700,,,60,1950,1,150000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
862080,1981,1,1,100,1981,1,2,,,,,,,,3,22000,,,,,,,,600,,,80,1981,1,120000,100,0,0,0,0,,,,,,1,1,2,,2,,1,1,2,,2,,1,500,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
862146,1990,1,1,100,1990,1,2,,,,,,,,4,,,,,,,,,,350,,90,1800,1,160000,,,,,,60,30,10,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,2,2,2
862150,2008,1,1,100,2007,2,,,,,,,,,4,,,,,,,,,,250,,120,1900,2,170000,,,,,,0,0,0,100,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,2
862168,2014,1,1,100,2012,1,,,,,,,,,4,,,,,,,,,250,,,108,2000,2,250000,0,0,50,50,0,,,,,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,1,,2,,,,1,1,1
862302,1980,1,1,100,1979,1,2,,,,,,,,4,,,,,,,,,,350,,160,1979,2,100000,,,,,,20,20,20,20,20,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
862303,1981,1,1,100,1985,1,,,,,,,,,1,50000,,,,,,,,,350,,120,1980,1,150000,,,,,,100,0,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
862314,1980,1,1,100,1980,1,2,,,,,,,,1,10000,,,,,,,,,400,,120,1979,2,150000,,,,,,40,10,30,10,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
862358,1985,2,,,,,,,,,,,,,,,,,52,6,1,250,7,,,1,70,1980,1,60000,,,,,,20,20,20,20,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,1,,,,,1,2,2
862416,1982,4,,,,,,,,,,,,,,,,,,,,,7,,500,,100,1980,1,140000,,,,,,20,20,20,20,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,2
862424,1997,1,1,100,1997,1,,,,,,,,,1,280000,,,,,,,,,600,,150,1990,2,350000,,,,,,0,100,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
862455,2004,1,1,100,2004,2,,,,,,,,,4,,,,,,,,,800,,,110,1970,2,300000,0,0,40,60,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,1
862462,1996,1,1,100,2008,2,,,,,,,,,4,,,,,,,,,500,,,190,1980,2,100000,20,20,20,20,20,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,1,2,1,,,,,,,,2,,,,1,2,1
862466,2008,5,,,,,,,,,,,,,,,,,,,,,1,500,,,89,1970,1,140000,20,20,10,40,10,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
862503,1984,1,1,100,1981,1,2,,,,,,,,1,21000,,,,,,,,,600,,90,1965,1,120000,,,,,,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,1,500,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,1,1,,,,,,,,1,2,2
862583,1998,1,1,100,1990,1,,,,,,,,,1,60000,,,,,,,,,350,,90,1990,2,100000,,,,,,0,0,0,40,60,1,1,2,,2,,2,,2,,2,,2,,2,,1,12000,2,,,1,200,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,2
862590,2012,1,1,100,2012,1,2,,,,,,,,7,250000,,,,,,,,,800,,120,2011,2,500000,,,,,,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,2
862604,1962,1,1,100,1960,1,,,,,,,,,4,,,,,,,,,,400,,120,1700,1,180000,,,,,,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
862789,2010,2,,,,,,,,,,,,,,,,,500,1,2,,4,,,2,104,1970,2,150000,,,,,,0,100,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
862824,2008,5,,,,,,,,,,,,,,,,,,,,,4,400,,,100,1960,2,60000,0,0,0,100,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
862826,2004,5,,,,,,,,,,,,,,,,,,,,,4,500,,,100,1970,1,70000,0,30,20,50,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
862853,1987,1,2,50,1995,1,,,,,,,,,4,,2,,,,,,,,600,,120,1963,2,220000,,,,,,10,60,10,10,10,2,,2,,2,,2,,2,,2,,1,16000,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
862877,1975,1,1,100,2004,1,,,,,,,,,3,80000,,,,,,,,300,,,75,1970,1,120000,80,5,5,5,5,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
862939,1980,1,1,100,1978,1,,,,,,,,,1,110000,,,,,,,,,1500,,300,1400,2,900000,,,,,,0,0,100,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
863078,2010,1,1,100,2010,1,,,,,,,,,6,,,,,,,,,600,,,120,1980,2,220000,20,10,40,20,10,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1,1,3,,1,2,1
863087,1994,3,1,100,1994,1,2,4,,,,,,,3,80000,,,,,,,,400,,,90,1990,1,90000,50,40,10,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,3,2,1
863099,1964,4,,,,,,,,,,,,,,,,,,,,,3,400,,,120,1960,2,130000,40,30,30,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,1,1,,,,,,,,1,2,1
863223,1986,1,1,100,1986,2,,,,,,,,,4,,,,,,,,,,180,,90,1982,1,80000,,,,,,50,50,0,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
863239,1991,1,1,100,1990,1,,,,,,,,,1,60000,,,,,,,,,600,,91,1971,2,200000,,,,,,0,0,100,0,0,1,1,2,,2,,2,,2,,1,16000,1,1000,2,,2,,1,420,,1,325,,2,,1,1,2,,1,1,2,,2,,2,,1,1,2,2,,2,,1,2,1,,,,,,,,1,2,,2,1,2,2
863308,1997,1,1,100,1995,1,,,,,,,,,1,170000,,,,,,,,1200,,,130,1935,2,400000,0,0,100,0,0,,,,,,1,2,2,,1,1,1,1,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
863331,1985,1,1,100,1985,1,2,,,,,,,,1,35000,,,,,,,,,500,,55,1900,1,110000,,,,,,0,10,70,15,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
863333,2015,2,,,,,,,,,,,,,,,,,400,1,2,,4,,,1,80,1980,1,60000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,2,2,1
863387,1980,1,1,100,1980,1,,,,,,,,,2,400000,,,,,,,,900,,,154,1980,2,300000,0,0,100,0,0,,,,,,1,2,2,,1,1,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
863397,1983,1,1,100,1983,1,2,,,,,,,,1,40000,,,,,,,,,1400,,180,1970,2,220000,,,,,,0,50,25,25,0,1,1,2,,2,,2,,2,,1,6000,2,,2,,2,,1,300,,2,,,2,,2,,1,1,2,,2,,2,,2,,,1,2,2,,2,,1,2,1,,,,,,,,,,,,1,2,2
863402,1982,1,1,100,2009,1,,,,,,,,,5,0,,,,,,,,,550,,100,1962,2,80000,,,,,,0,50,50,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,200,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,2
863430,1994,1,1,100,1990,1,,,,,,,,,1,100000,,,,,,,,,1000,,140,1990,2,500000,,,,,,40,20,10,10,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
863447,1999,1,1,100,1999,1,,,,,,,,,4,,,,,,,,,650,,,100,1960,2,200000,50,20,10,10,10,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
863451,2003,1,1,100,2003,1,,,,,,,,,1,150000,,,,,,,,500,,,100,2000,2,200000,40,20,10,20,10,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
863458,1984,1,1,100,1984,1,,,,,,,,,6,,,,,,,,,500,,,80,1960,2,250000,20,20,20,10,30,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
863542,2009,2,,,,,,,,,,,,,,,,,350,1,1,500,4,,,2,60,1970,1,220000,0,15,80,5,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1,2,2,,1,1,1
863575,1968,1,1,100,1970,1,2,,,,,,,,4,,,,,,,,,400,,,100,1900,1,150000,30,50,20,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
863673,1964,1,1,100,1999,1,,,,,,,,,4,,,,,,,,,,1500,,300,1963,2,1000000,,,,,,100,0,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
863684,1983,1,1,100,1983,2,,,,,,,,,2,75000,,,,,,,,,650,,80,1980,1,160000,,,,,,0,10,50,20,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
863863,1993,1,1,100,2008,2,,,,,,,,,4,,,,,,,,,,400,,130,1982,2,180000,,,,,,0,0,100,0,0,1,2,2,,2,,2,,2,,2,,1,2000,2,,1,2000,2,,,2,,,2,,2,,1,1,2,,2,,2,,2,,,1,2,2,,2,,1,2,1,,,,,,,,2,,,,1,2,2
864040,1982,1,1,100,1982,2,,,,,,,,,4,,,,,,,,,2000,,,250,1955,2,1400000,30,40,20,10,0,,,,,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
864120,2001,1,1,100,2001,2,,,,,,,,,4,,,,,,,,,,600,,110,1995,2,200000,,,,,,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,,,,2,,,2,2,1,2,,4,1,2,2
864133,2004,1,1,100,2004,1,,,,,,,,,4,,,,,,,,,500,,,110,1950,2,500000,10,10,60,10,10,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,1
