nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
31221,1,0,0,11700,0,0,0,0,0,0,11700,0,0,11700,0,0,10200,10200,7.3305630485,0,0,0,7.3305630485,10207.330563,21907.330563,0,0
31221,2,0,0,7800,0,0,0,0,0,0,7800,0,0,7800,0,0,0,0,0,0,0,0,0,0,7800,0,0
31246,1,0,0,15480,0,0,0,0,0,0,15480,0,0,15480,0,0,4200,4200,8.4301475057,0,4142.3307821,0,4150.7609296,8350.7609296,23830.76093,0,0
31246,2,0,0,14580,0,0,0,0,0,0,14580,0,0,14580,0,0,0,0,0,0,0,0,0,0,14580,0,0
31625,1,0,0,9100,0,0,0,0,12000,0,9100,-12000,-12000,-2900,0,0,14200,14200,53.707331412,0,0,0,53.707331412,14253.707331,11353.707331,0,0
31625,2,27000,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0
31652,1,0,0,26000,0,0,0,0,0,0,26000,0,0,26000,0,1820,5000,6820,54.979222863,0,206.11109214,0,261.090315,7081.090315,33081.090315,0,0
31652,2,0,0,16900,0,0,0,0,0,0,16900,0,0,16900,0,0,0,0,0,0,0,0,0,0,16900,0,0
31665,1,0,0,24700,0,0,0,0,0,0,24700,0,0,24700,0,0,6000,6000,122.81625331,0,0,0,122.81625331,6122.8162533,30822.816253,0,0
31671,1,0,0,26000,0,0,0,0,0,0,26000,0,0,26000,0,0,6090,6090,519.56586392,0,460.5890906,0,980.15495452,7070.1549545,33070.154955,0,0
31695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,8400,10.995844573,0,0,0,10.995844573,8410.9958446,8410.9958446,0,0
31695,2,24700,0,0,0,0,0,0,0,24700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24700,0,0
31695,3,15600,0,0,0,0,0,0,0,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15600,0,0
31724,1,32000,0,0,0,0,0,0,0,32000,0,0,0,0,0,0,18625,18625,550.52528494,0,0,0,550.52528494,19175.525285,51175.525285,0,0
31724,2,15000,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0
31724,3,0,0,0,0,0,0,3600,0,0,0,3600,3600,3600,0,0,0,0,0,0,0,0,0,0,3600,0,0
31724,5,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,0,0,0,0,0,0,0,0,0,20800,0,0
31757,1,0,0,10140,0,0,0,0,0,0,10140,0,0,10140,0,0,7200,7200,18.326407621,198.12200144,0,0,216.44840906,7416.4484091,17556.448409,0,0
31799,1,0,0,7709,0,0,0,0,0,0,7709,0,0,7709,0,0,5000,5000,25.65697067,218.96520869,0,0,244.62217936,5244.6221794,12953.622179,0,0
31799,2,0,0,18200,0,0,0,0,0,0,18200,0,0,18200,0,0,0,0,0,0,0,0,0,0,18200,0,0
31860,1,16000,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,7200,7200,11.211039908,0,0,484.19180903,-472.9807691,6727.0192309,22727.019231,0,0
31860,2,17000,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0
31860,3,3200,0,0,0,0,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0
32034,1,0,0,16900,0,0,0,0,0,0,16900,0,0,16900,0,0,4800,4800,17.350597108,0,0,0,17.350597108,4817.3505971,21717.350597,0,0
32044,1,0,0,6890,0,490,0,1600,0,0,6890,1600,2090,8980,0,0,0,0,2.565697067,0,0,0,2.565697067,2.565697067,8982.5656971,0,0
32052,1,0,0,15600,0,0,0,0,0,0,15600,0,0,15600,0,0,7200,7200,34.31939769,0,0,0,34.31939769,7234.3193977,22834.319398,0,0
